code,group,diagnosis,chapter
F70(Mild)|F71(Moderate)|F72(Severe)|F73(Profound),10,Intellectual disabilities,1
F88_Global Developmental Delay,10,Global Developmental Delay,1
F90.8,30,Other Specified Attention-Deficit/Hyperactivity Disorder,1
F51.01,15,Insomnia Disorder,12
F51.11,15,Hypersomnolence Disorder,12
"G47.419(without cataplexy with hypocretin deficiency)|G47.411(with cataplexy without hypocretin deficiency)|G47.419(Autosomal dominant cerebellar ataxia, deafness, and narcolepsy)|G47.419(Autosomal dominant narcolepsy, obesity, and type 2 diabetes)|G47.429(Narcolepsy secondary to another medical condition)",15,Narcolepsy with cataplexy but without hypocretin deficiency,12
G47.33,15,Obstructive Sleep Apnea Hypopnea,12
G47.31(Idiopathic central sleep apnea)|R06.3(Cheyne-Stokes breathing)|G47.37(Central sleep apnea comorbid with opioid use),15,Central Sleep Apnea,12
G47.34(Idiopathic)|G47.35(Congenital central alveolar|G47.36(Comorbid sleep-related),15,Sleep-Related Hypoventilation,12
G47.21(Delayed sleep phase)|G47.22(Advanced sleep phase|G47.23(Irregular sleep-wake)|G47.24(Non-24-hour sleep-wake)|G47.26(Shift work|G47.20(Unspecified type),15,Circadian Rhythm Sleep-Wake Disorders,12
F51.3(sleepwalking)|F51.4(sleep terror),15,Non-Rapid Eye Movement Sleep Arousal Disorders,12
F51.5,15,Nightmare Disorder,12
G47.52,15,Rapid Eye Movement Sleep Behavior Disorder,12
F90.9,28,Unspecified Attention-Deficit/ Hyperactivity Disorder,1
G25.81,15,Restless Legs Syndrome,12
F10.182|F15.182|F12.182|F11.182|F13.182|F14.182|F19.182|F10.282|F15.282|F12.282|F11.282|F13.282|F14.282|F19.282|F17.208|F10.982|F15.982|F12.982|F11.982|F13.982|F14.982|F19.982,21,Substance/Medication-Induced Sleep Disorder,12
G47.09,30,Other insomnia,12
G47.00,25,Unspecified Insomnia Disorder,12
G47.19,30,Other Specified Hypersomnolence Disorder,12
